ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2019-02-02|20:15:26|Mkn501-20190202@201526-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1026.3311|1046.8085|R_Astrodon_2018|2458517.344050926|180.0|21.4874|3.0628|40.4657|1.5236
2|2019-02-02|20:18:44|Mkn501-20190202@201843-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.6655|1044.6592|R_Astrodon_2018|2458517.3463425925|180.0|21.4580|3.2076|41.1013|1.5044
3|2019-02-07|18:54:04|Mkn501-20190207@185404-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1027.9214|1053.4330|R_Astrodon_2018|2458522.287546296|180.0|21.3947|4.3530|28.6061|2.0500
4|2019-02-07|18:57:23|Mkn501-20190207@185722-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1027.9620|1051.3018|R_Astrodon_2018|2458522.289849537|180.0|21.4013|4.2569|29.2396|2.0102
5|2019-02-11|18:04:38|Mkn501-20190211@180437-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1027.6349|1058.0379|R_Astrodon_2018|2458526.2532175924|180.0|21.3105|4.7156|22.2168|2.5770
6|2019-02-11|18:07:57|Mkn501-20190211@180756-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1028.0462|1056.8781|R_Astrodon_2018|2458526.255520833|180.0|21.3014|4.7958|22.8408|2.5122
7|2019-02-14|20:04:08|Mkn501-20190214@200407-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1026.3396|1042.1905|R_Astrodon_2018|2458529.3362037037|180.0|21.5259|2.4046|47.3533|1.3480
8|2019-02-14|20:07:26|Mkn501-20190214@200725-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.5951|1040.7176|R_Astrodon_2018|2458529.3384953705|180.0|21.5194|2.4064|47.9826|1.3347
9|2019-02-15|21:23:28|Mkn501-20190215@212328-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1024.7526|1031.0100|R_Astrodon_2018|2458530.3912962964|180.0|21.4705|2.4490|62.5927|1.1217
10|2019-02-15|21:26:46|Mkn501-20190215@212646-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1024.2909|1030.9731|R_Astrodon_2018|2458530.393587963|180.0|21.4714|2.6294|63.1479|1.1163
11|2019-02-19|21:38:26|Mkn501-20190219@213825-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1019.4647|1029.5056|R_Astrodon_2018|2458534.401689815|180.0|21.3794|2.1695|67.4646|1.0795
12|2019-02-19|21:41:44|Mkn501-20190219@214144-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1018.9551|1030.0774|R_Astrodon_2018|2458534.4039814817|180.0|21.3880|2.1615|67.9403|1.0759
13|2019-02-20|20:28:24|Mkn501-20190220@202823-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.8663|1036.6533|R_Astrodon_2018|2458535.3530555554|180.0|21.4137|2.5679|56.3307|1.1946
14|2019-02-20|20:31:42|Mkn501-20190220@203141-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.1198|1036.1366|R_Astrodon_2018|2458535.355347222|180.0|21.4068|2.6923|56.9329|1.1865
15|2019-02-26|17:58:50|Mkn501-20190226@175849-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1027.9344|1053.1396|R_Astrodon_2018|2458541.249189815|180.0|21.1337|2.8511|32.3346|1.8406
16|2019-02-26|18:02:08|Mkn501-20190226@180208-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1027.2586|1050.8711|R_Astrodon_2018|2458541.2514814814|180.0|20.9446|2.9445|32.9683|1.8096
17|2019-02-28|19:38:12|Mkn501-20190228@193812-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1025.5770|1039.8738|R_Astrodon_2018|2458543.3181944443|180.0|21.3753|3.4021|52.8605|1.2459
18|2019-02-28|19:41:30|Mkn501-20190228@194129-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1024.9237|1038.4992|R_Astrodon_2018|2458543.320486111|180.0|21.4162|3.2084|53.4768|1.2361
